Year,Quarter,dlm_exp,dlm_real,date,shiller_fwd,shiller_trail
2011,3,0.188687638940964,0.0134726663555416,2011-09-01,-0.005533793231658812,0.19095842548412012
2011,4,0.174260642890946,-0.0285261813338416,2011-12-01,-0.005073226608009129,0.11699266378121731
2012,1,0.173379183905777,-0.0175001783567534,2012-03-01,-0.009532527925857792,0.08518541708424898
2012,2,0.189016329882794,-0.00088166535071732,2012-06-01,0.03388259486876599,0.04715932909904552
2012,3,0.214588640055616,0.0579092814782527,2012-09-01,0.0870788120954078,-0.005533793231658812
2012,4,0.25810631603698,0.16663922914118,2012-12-01,0.14690817445848126,-0.005073226608009129
2013,1,0.255702163815698,0.148143477023455,2013-03-01,0.13971236502208395,-0.009532527925857792
2013,2,0.247252266874843,0.142525531315607,2013-06-01,0.1255834536668008,0.03388259486876599
2013,3,0.219201972547982,0.123301702505877,2013-09-01,0.11583843837062702,0.0870788120954078
2013,4,0.161468121306784,0.00398300688042141,2013-12-01,0.020839231240084466,0.14690817445848126
2014,1,0.162886338605229,-0.0195401704588507,2014-03-01,-0.015992344832921113,0.13971236502208395
2014,2,0.178396233706367,-0.0772713923417641,2014-06-01,-0.08296428448853188,0.1255834536668008
2014,3,0.171792019387119,-0.147109837606152,2014-09-01,-0.1559454188911653,0.11583843837062702
2014,4,0.192036260089986,-0.15094363674383,2014-12-01,-0.16751624527220077,0.020839231240084466
2015,1,0.183333224029556,-0.146079872727367,2015-03-01,-0.13819138792861452,-0.015992344832921113
2015,2,0.239715265952865,-0.106512106035017,2015-06-01,-0.0879409187541711,-0.08296428448853188
2015,3,0.295276295058258,-0.0296022804066611,2015-09-01,-0.01746915078015121,-0.1559454188911653
2015,4,0.341577486330423,0.0814148452447725,2015-12-01,0.08863762048581858,-0.16751624527220077
2016,1,0.33121009208508,0.150533651243134,2016-03-01,0.1486154574614318,-0.13819138792861452
2016,2,0.348355722263791,0.194659609568828,2016-06-01,0.17959503295669688,-0.0879409187541711
2016,3,0.335351897978494,0.191230152500794,2016-09-01,0.18392912391959992,-0.01746915078015121
2016,4,0.300749472608564,0.164388329039112,2016-12-01,0.15026006612260634,0.08863762048581858
2017,1,0.262334170389658,0.145761933081046,2017-03-01,0.14068492536549826,0.1486154574614318
2017,2,0.249913665687293,0.161743000118183,2017-06-01,0.1633645630045022,0.17959503295669688
2017,3,0.245356017126,0.189886864908669,2017-09-01,0.19695374078322825,0.18392912391959992
2017,4,0.238427581202248,0.159278858683601,2017-12-01,0.1863632507224926,0.15026006612260634
2018,1,0.310538069445749,0.135330538170349,2018-03-01,0.15199510609335753,0.14068492536549826
2018,2,0.285311983829412,0.0727705080822787,2018-06-01,0.09932502975167434,0.1633645630045022
2018,3,0.257604891372283,-0.000163475969802818,2018-09-01,0.01906700628381941,0.19695374078322825
2018,4,0.257178881287941,0.0382187791531106,2018-12-01,0.0520974124210376,0.1863632507224926
2019,1,0.236720783523015,-0.124517315445003,2019-03-01,-0.144315040730298,0.15199510609335753
2019,2,0.242330675178085,-0.296771818306399,2019-06-01,-0.30983239317495226,0.09932502975167434
2019,3,0.266143843443362,-0.290268436365818,2019-09-01,-0.3023871051081013,0.01906700628381941
2019,4,0.229121408051996,-0.379041722755637,2019-12-01,-0.3931727188114742,0.0520974124210376
2020,1,0.362474849299858,0.0427789791448401,2020-03-01,0.09716056465789435,-0.144315040730298
2020,2,0.302713094820041,0.446006897078231,2020-06-01,0.46995323998871363,-0.30983239317495226
2020,3,0.427964424689683,0.557683680065139,2020-09-01,0.580030242329995,-0.3023871051081013
2020,4,0.53586749139979,0.724771340426678,2020-12-01,0.74293344384522,-0.3931727188114742
2021,1,0.353729270734893,0.457803842248064,2021-03-01,0.4342208374163201,0.09716056465789435
2021,2,0.208366265793146,0.211394730077929,2021-06-01,0.1914549947228057,0.46995323998871363
2021,3,0.187635069838987,0.227537526402783,2021-09-01,0.06509770467296772,0.580030242329995
2021,4,0.0953070365902455,,2021-12-01,-0.13576478675656922,0.74293344384522
2022,1,0.13223801823887,,2022-03-01,-0.12205545093933345,0.4342208374163201
