date,raw_date,P,D,E,CPI,g_div_trailing,g_earn_trailing,g_div_fwd,g_earn_fwd
1884-10-01,1884.1,4.44,0.3133,0.325,8.563094215,-0.04676662654940089,-0.22006188477680166,-0.21892329581687608,-0.16089129553685733
1884-11-01,1884.11,4.35,0.3117,0.3175,8.372844628,-0.05462428202962344,-0.23721727852587182,-0.23752298964135687,-0.149907725398724
1884-12-01,1884.12,4.34,0.31,0.31,8.277679339,-0.06252035698133396,-0.2548922496287901,-0.25593337413720074,-0.13815033848081715
1885-01-01,1885.01,4.24,0.3042,0.3067,8.277679339,-0.07624244468235442,-0.2466664661022574,-0.24415499572049604,-0.10909897345363428
1885-02-01,1885.02,4.37,0.2983,0.3033,8.372844628,-0.09094262708632139,-0.23852091959324873,-0.23130617500076478,-0.07993281152528575
1885-03-01,1885.03,4.38,0.2925,0.3,8.18251405,-0.10536051565782634,-0.22978809403287848,-0.21887915252775225,-0.05129329438755059
1885-04-01,1885.04,4.37,0.2867,0.2967,8.277679339,-0.12014431184206331,-0.22078147834149398,-0.20611119386193977,-0.022840604316256563
1885-05-01,1885.05,4.32,0.2808,0.2933,8.087381157,-0.13597676209332477,-0.2118284983113241,-0.1921992407133255,0.005779380356414343
1885-06-01,1885.06,4.3,0.275,0.29,7.897091074,-0.15154989812720077,-0.20223686649489614,-0.1786917887433761,0.03390155167568132
1885-07-01,1885.07,4.46,0.2692,0.2867,7.992232066,-0.16753973651747445,-0.19232829211552271,-0.1647940442348228,0.06187540371808753
1885-08-01,1885.08,4.71,0.2633,0.2833,7.992232066,-0.1846608870423303,-0.18243921077373648,-0.1496665089887803,0.09006589064272119
1885-09-01,1885.09,4.65,0.2575,0.28,7.897091074,-0.20155291872184233,-0.17185025692665912,-0.13491931789937062,0.11778303565638337
1885-10-01,1885.1,4.92,0.2517,0.2767,7.897091074,-0.21892329581687608,-0.16089129553685733,-0.11972174329515783,0.14538710900089202
1885-11-01,1885.11,5.24,0.2458,0.2733,7.992232066,-0.23752298964135687,-0.149907725398724,-0.10319308050966858,0.1732550893957152
1885-12-01,1885.12,5.2,0.24,0.27,8.18251405,-0.25593337413720074,-0.13815033848081715,-0.08701137698962969,0.2006706954621511
1886-01-01,1886.01,5.2,0.2383,0.275,7.992232066,-0.24415499572049604,-0.10909897345363428,-0.06860328249840153,0.18986876242933737
1886-02-01,1886.02,5.3,0.2367,0.28,7.992232066,-0.23130617500076478,-0.07993281152528575,-0.05069311431551804,0.17934092865581674
1886-03-01,1886.03,5.19,0.235,0.285,7.897091074,-0.21887915252775225,-0.05129329438755059,-0.03243527575315386,0.1690763300439342
1886-04-01,1886.04,5.12,0.2333,0.29,7.801941983,-0.20611119386193977,-0.022840604316256563,-0.014245870104188985,0.15906469462968764
1886-05-01,1886.05,5.02,0.2317,0.295,7.611651901,-0.1921992407133255,0.005779380356414343,0.00344679358908051,0.1492963013624602
